EMPID,PASSPORT,FIRSTNAME,LASTNAME,GENDER,BIRTHDAY,NATIONALITY,HIRED,DEPT,POSITION,STATUS,REGION
1,OQI75XIE4UX,Christopher,Kennedy,1,05-02-1978,South Korea,20-02-2005,Flight Planning,Steward,2,Europe
2,CDC87ETW8EQ,Burton,Gallegos,0,22-09-1960,Germany,29-10-2021,Aircraft Maintenance,Pilot,1,APAC
3,JUI65YBK7AF,Jada,Bender,0,28-05-1963,Pakistan,11-02-2001,Pilot,Pilot,1,Canada
4,CYB72WYU6UR,Winter,Blair,0,14-02-1993,Austria,24-03-2022,Pilot,Steward,4,Ocenia
5,AZE20CSG4MU,Lillian,Reese,0,03-12-1982,Ukraine,19-05-2002,Flight Planning,Steward,1,Canada
6,KXU40SKR1YO,Simone,Mosley,0,20-11-1994,Norway,10-03-2023,Flight Planning,Steward,2,Canada
7,SBJ34IXU7TC,Madeson,Mcintosh,1,03-11-1997,Mexico,22-08-2007,Flight Attendance,Steward,0,Ocenia
8,UCT91SOT6EN,Josephine,Hansen,1,12-10-1982,United States,24-12-2021,Flight Planning,Pilot,4,Middle East
9,WOW94MLI6CM,Prescott,Dudley,0,07-04-1990,Sweden,16-11-2012,Pilot,Steward,2,Canada
10,YHF52IXT9VG,Lamar,Reeves,1,13-09-1988,Philippines,26-09-2003,Flight Attendance,Pilot,2,Canada
11,LBI65YUK1BG,Hamilton,Duffy,1,09-11-1987,Vietnam,31-12-2021,Aircraft Maintenance,Steward,4,APAC
12,KGM77GAL2UW,Levi,Atkinson,0,08-10-1969,Sweden,13-09-2002,Aircraft Maintenance,Steward,4,Europe
13,UOM66JXI0ZD,Levi,Myers,0,29-12-1998,Sweden,13-09-2004,Aircraft Maintenance,Steward,0,Europe
14,TAP82QBU5PN,Lunea,Sweet,1,27-10-1992,Netherlands,15-03-2004,Pilot,Airhostess,3,Middle East
15,MOJ66TSD0LH,Jade,Simmons,1,04-03-1961,Costa Rica,24-12-2000,Aircraft Maintenance,Steward,0,Canada
16,WRS57BWI1RG,Serina,Tran,1,28-11-1980,Sweden,18-07-2010,Flight Planning,Steward,2,Canada
17,TZU74JZT1GC,Talon,Santiago,1,17-04-1969,United States,02-09-2015,Aircraft Maintenance,Steward,0,Canada
18,DFE84WHT0ED,Joelle,Boyle,0,19-07-1962,Germany,28-03-2013,Flight Planning,Airhostess,0,Ocenia
19,SYT22ZIA2ZU,Thaddeus,Martinez,1,02-04-1975,Costa Rica,11-07-2015,Flight Attendance,Steward,0,Middle East
20,JDS74VWV5XG,Lester,Edwards,1,11-10-1973,India,03-09-2000,Flight Planning,Airhostess,0,Canada
21,SMN51EPH5FE,Aline,Riley,0,04-06-1989,India,05-04-2001,Flight Attendance,Pilot,3,APAC
22,SOM23XJR5NC,Igor,Ochoa,1,11-10-1972,Colombia,02-11-2005,Flight Planning,Airhostess,4,APAC
23,NFH65BYM0VB,Armand,Horn,0,24-05-1987,Netherlands,19-06-2007,Aircraft Maintenance,Airhostess,1,Ocenia
24,EQI56KFP6NU,Chaney,Ramsey,1,13-06-1972,South Africa,19-12-2002,Aircraft Maintenance,Steward,2,USA
25,BJQ37WBQ4UL,Leandra,Mayer,0,07-09-1974,Philippines,17-09-2019,Pilot,Steward,0,Europe
26,CCE27MGJ8KI,Chloe,Blanchard,1,29-12-1998,Russian Federation,20-05-2001,Pilot,Steward,2,Middle East
27,EDF66USR7HP,Anjolie,Dudley,1,27-12-1975,United Kingdom,28-07-2004,Aircraft Maintenance,Steward,0,USA
28,VSN53SUD8EA,Lana,Aguirre,1,30-10-1979,Pakistan,16-09-2020,Flight Attendance,Pilot,2,Middle East
29,CMK62UAD3VK,Rowan,Leonard,1,15-07-1974,Germany,27-03-2004,Aircraft Maintenance,Pilot,1,Ocenia
30,WJE55UKG3YU,Clarke,Norman,1,15-06-1987,Pakistan,13-01-2022,Aircraft Maintenance,Steward,3,USA
31,JBK92QBQ9CF,Kyra,Noel,1,25-08-1972,China,27-11-2005,Flight Attendance,Airhostess,3,Canada
